ISP,Country,ASN
FarabordDadehHayeIranianCo.,IR,AS206065 Farabord Dadeh Haye Iranian Co.
RahanetZanjanCo.(PrivateJoint-Stock),IR,AS198569 Rahanet Zanjan Co. (Private Joint-Stock)
InformationTechnologyCompanyOfGilan,IR,AS58224 Iran Telecommunication Company PJS
PishgamanToseehErtebatatCompany(PrivateJoint,IR,AS201150 Didehban Net Company PJS
IranTelecommunicationCompanyPJS,IR,AS58224 Iran Telecommunication Company PJS
MobileCommunicationCompanyofIranPLC,IR,AS197207 Mobile Communication Company of Iran PLC
AsiatechDataTransmissioncompany,IR,AS43754 Asiatech Data Transmission company
MTNIrancell,IR,AS44244 Iran Cell Service and Communication Company
UniversityofKashan,IR,AS16286 University of Kashan
RespinaNetworks&BeyondPJSC,IR,AS42337 Respina Networks & Beyond PJSC
ArianaGostarSpadana(PJSC),IR,AS48309 Ariana Gostar Spadana (PJSC)
InformationTechnologyCompany(ITC),IR,AS58224 Iran Telecommunication Company PJS
InstituteforResearchinFundamentalSciences,IR,AS57745 Tarbiat Modares University
ParvareshDadehaCo.PrivateJointStock,IR,AS39501 Parvaresh Dadeha Co. Private Joint Stock
TCE,IR,AS58224 Iran Telecommunication Company PJS
RighTel,IR,AS57218 Rightel Communication Service Company PJS
ParsOnlinePJS,IR,AS16322 Pars Online PJS
Afranet,IR,AS25184 Afranet
GOSTARESH-E-ERTEBATAT-EMABNACOMPANY(PrivateJoi,,
UniversityofTehranInformaticsCenter,IR,AS29068 University of Tehran Informatics Center
MobinNetCommunicationCompany(PrivateJointSto,IR,AS50810 Mobin Net Communication Company (Private Joint Stock)
AndisheSabzKhazarCo.P.j.s.,IR,AS39308 ANDISHE SABZ KHAZAR CO. P.J.S.
ResanehPardazSepahanCo,IR,AS206495 Resaneh Pardaz Sepahan Co
AsmanfarazSepahanCompany(P.J.S),IR,AS44375 Asmanfaraz Sepahan Company (P.J.S)
ClaroArgentina,AR,AS11664 Techtel LMDS Comunicaciones Interactivas S.A.
GIGANETS.A.,PY,AS61512 GIG@NET SOCIEDAD ANONIMA
VazquezBogadoChristianAgustinCybernet,PY,AS267767 VAZQUEZ BOGADO CHRISTIAN AGUSTIN (CYBERNET)
PersonalParaguay,PY,AS27895 Núcleo S.A.
TigoParaguay,PY,AS23201 Telecel S.A.
Co.pa.co.,PY,AS27866 CO.PA.CO.
TecnologiaEnElectronicaEInformaticaSociedadA,PY,AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A)
SolTelecomunicacionesS.A.,PY,AS263717 SOL TELECOMUNICACIONES S.A.
UfinetParaguayS.A.,PY,AS52468 UFINET PANAMA S.A.
TelekomSlovenije,SI,"AS5603 Telekom Slovenije, d.d."
Telemach,BA,AS42560 Telemach d.o.o. Sarajevo
T-2,EG,AS8452 TE-AS
KRSNetworks,SI,AS58056 siaIT d.o.o.
A1Slovenija,SI,"AS21283 A1 Slovenija telekomunikacijske storitve,d.d."
Telecom-Malagasy,EG,AS8452 TE-AS
OrangeMadagascar,MG,AS37037 Orange Madagascar
Gulfsat-Madagascar,MG,AS328411 Gulfsat Madagascar
YemenNet,YE,AS30873 Public Telecommunication Corporation
Snerpaehf,IS,AS24743 Snerpa ehf
MTNSudan,SD,AS36972 MTN SUDAN
Max-net-for-internet-services,,
Mobitel(SudaneseMobileTelephone),SD,AS15706 Sudatel (Sudan Telecom Co. Ltd)
Sudatel,SD,AS33788 Kanar Telecommunication (Canar Telecom Co.Ltd)
KANARTEL,SD,AS33788 Kanar Telecommunication (Canar Telecom Co.Ltd)
NepalTelecom,NP,"AS23752 Nepal Telecommunications Corporation, Internet Services,"
NetMaxTechnologiesPvt.,NP,AS56204 Net Max Technologies Pvt. Ltd.
WebsurferNepalInternetServiceProvider,NP,AS24550 Websurfer Nepal Internet Service Provider
"SubisuCablenetPvtLtd,Baluwatar,Kathmandu,Nep",NP,"AS4007 Subisu Cablenet (Pvt) Ltd, Baluwatar, Kathmandu, Nepal"
MaxNetSolutionsPvt,NP,AS135335 Max Net Solutions Pvt Ltd
WorldLinkCommunicationsPvt,NP,AS17501 WorldLink Communications Pvt Ltd
ClassicTechPvt.,NP,AS55915 Classic Tech Pvt. Ltd.
VianetCommunicationsPvt.,NP,AS45650 Vianet Communications Pvt. Ltd.
TechmindsNetworksPvt.,NP,AS58504 TECHMINDS NETWORKS PVT. LTD.
SimpleMediaNetworkPrivateLimited,NP,AS139922 Simple Media Network Private Limited
SolomonTelekomCo,SB,AS45891 Solomon Telekom Co Ltd
Cst-net,ST,AS328191 Companhia Santomense de Telecomunicacoes
ARN,DZ,AS3208 Algerian Academic Research Network
Optimum-Telecom-Algeria,,
AlgerieTelecomMobileMOBILIS,DZ,AS327712 Telecom Algeria
AlgerieTelecom,DZ,AS36947 Telecom Algeria
wataniya-telecom,DZ,AS33779 Wataniya Telecom Algerie
ETB,CO,AS19429 ETB - Colombia
EmpresadeRecursosTecnologicosS.AE.S.P,CO,AS27845 Empresa de Recursos Tecnologicos S.A E.S.P
ConexionDigitalExpressS.a.s.,CO,AS266860 CONEXION DIGITAL EXPRESS S.A.S.
TigoColombia,CO,AS27831 Colombia Móvil
ITELKOM,CO,AS262215 ITELKOM
CelsiaColombiaS.A.E.s.p.,CO,AS270035 CELSIA COLOMBIA S.A. E.S.P.
LegonTelecomunicacionesSAS,CO,AS27951 Media Commerce Partners S.A
RegionalDeServiciosDeTelecomunicacionesZomac,CO,AS271789 REGIONAL DE SERVICIOS DE TELECOMUNICACIONES ZOMAC S.A.S.
SpSistemasPalaciosLtda,CO,AS267708 SP SISTEMAS PALACIOS LTDA
MovistarColombia,CO,AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP
NokiaOyj,BR,AS39784 Nokia Oyj
bitwan,CO,AS266698 INSITEL S.A.S.
Lumen,GU,AS7131 PTI Pacifica Inc.
ColombiaMasTvS.a.s,CO,AS269822 COLOMBIA MAS TV S.A.S
InternexaS.A.E.s.p,CO,AS262589 InterNexa Global Network
SepcomComunicacionesS.A.S,CO,AS269804 SEPCOM COMUNICACIONES SAS
InterlansS.a.s,CO,AS267757 INTERLANS S.A.S
TelmexColombiaS.A.,CO,AS10620 Telmex Colombia S.A.
DialnetdeColombiaS.A.E.S.P.,CO,AS27837 Dialnet de Colombia S.A. E.S.P.
INTEGRAMULTISOLUTIONSS.A.S.,CO,AS262186 TV AZTECA SUCURSAL COLOMBIA
HvTelevisionS.a.s,CO,AS263210 HV TELEVISION S.A.S
ClaroColombia,CO,AS26611 COMCEL S.A.
DIRECTVColombia,CO,AS262186 TV AZTECA SUCURSAL COLOMBIA
IFXNetworksArgentinaS.R.L.,CO,AS52468 UFINET PANAMA S.A.
TVAZTECASUCURSALCOLOMBIA,CO,AS262186 TV AZTECA SUCURSAL COLOMBIA
AztecaComunicacionesColombia,CO,AS262186 TV AZTECA SUCURSAL COLOMBIA
ATENEATELECOMUNICACIONESSAS,CO,AS267823 ATENEA TELECOMUNICACIONES S.A.S
MediaCommercePartnersS.A,CO,AS27951 Media Commerce Partners S.A
IfxNetworksColombia,CO,AS18747 IFX Corporation
InfoboxLLC,,
OOOGalsTelecom,UZ,AS43533 OOO Gals Telecom
Uztelecom,UZ,AS8193 Uzbektelekom Joint Stock Company
NetTelevisionLtd,UZ,AS50025 Net Television Ltd
istTelekomLLC,UZ,AS34718 IST TELEKOM LLC
BuztonJ.v.,,
UzbektelecomJSC,UZ,AS8193 Uzbektelekom Joint Stock Company
ALFATELECOMs.r.o.,RU,AS201147 DAGSVYAZ TELECOM
JCLLCSarkor-Telecom,UZ,AS12365 JC LLC Sarkor-Telecom
TuronMediaXK,UZ,AS59668 Turon Media XK
UNITELLLC,UZ,AS41202 UNITEL LLC
COSCOMLiabilityLimitedCompany,,
UniversalMobileSystemsLcc,UZ,AS64466 UNIVERSAL MOBILE SYSTEMS LCC
"SoftEtherTelecommunicationResearchInstitute,LL",JP,"AS36599 SoftEther Telecommunication Research Institute, LLC"
K-OpticomCorporation,KR,AS4766 Korea Telecom
EasternCommunications,PH,"AS9658 Eastern Telecoms Phils., Inc."
NTT,JP,AS4713 NTT Communications Corporation
SoftbankBB,JP,AS17676 Softbank BB Corp.
NTT-MECorporation,JP,AS4713 NTT Communications Corporation
TOKAI,JP,AS10010 TOKAI Communications Corporation
NagasakiCableMedia,JP,AS10000 Nagasaki Cable Media Inc.
ChubuTelecommunicationsCompany,JP,"AS18126 Chubu Telecommunications Company, Inc."
auonenet,JP,AS2516 KDDI CORPORATION
So-net,JP,AS17676 Softbank BB Corp.
Biglobe,JP,AS2518 BIGLOBE Inc.
J:COM,,
MicrosoftCorporation,US,AS8075 Microsoft Corporation
Dolphin,JP,AS4723 Dolphin
InternetInitiativeJapan,JP,AS2497 Internet Initiative Japan Inc.
JCOMCo.,JP,"AS9617 JCOM Co., Ltd."
CommunityNetworkCenterIncorporated.,JP,AS17698 COMMUNITY NETWORK CENTER INCORPORATED.
ARTERIANetworksCorporation,JP,AS17506 ARTERIA Networks Corporation
BIGLOBELtd.,JP,AS2518 BIGLOBE Inc.
KDDI,JP,"AS131933 TAMA Television Co., Ltd"
VECTANT,RU,AS34139 TSI Service JSC
KaribCable,LC,AS15344 Karib Cable
DigicelSaintLucia,GD,AS33582 Digicel St.Lucia Ltd
SoftLayerTechnologies,,
WhizCommunicationsPte,SG,AS135600 Whiz Communications Pte Ltd
DigitalOcean,US,"AS14061 DigitalOcean, LLC"
CloudflareWarp,FR,"AS13335 Cloudflare, Inc."
OVH,HK,AS16276 OVH SAS
MyRepublic,ID,AS63859 PT. Eka Mas Republik
"Choopa,LLC",GB,"AS20473 The Constant Company, LLC"
DatacampLimited,PH,AS9299 Philippine Long Distance Telephone Company
MoovBenin,BJ,AS37136 ETISALAT BENIN
ISOCEL,BJ,AS37090 ISOCEL SA
BeninTelecom,US,AS20115 Charter Communications
UNITEL,LA,AS131267 PO box T511 Phonexay road - Xaysettha district
Africa-on-Cloud,,
ETLCompanyLimited,LA,AS10226 ETL Company Limited
3CLinkTechnologySoleCo.,LA,"AS140635 3C Link Technology Sole Co., Ltd."
SkyTelecomLaos,LA,"AS24337 Skytelecom , Transit provider and ISP in Vientiene."
"LaoTelecomCommunication,LTC",LA,"AS9873 Lao Telecom Communication, LTC"
"FLYNETBUSINESSANDSYSTEM,SAdeCV",SV,"AS265780 FLYNET BUSINESS AND SYSTEM, SA de CV"
"UfinetElSalvador,S.A.deC.V.",SV,AS52468 UFINET PANAMA S.A.
ClaroElSalvador,SV,AS14754 Telgua
TigoElSalvador,SV,AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V.
Navega.comElSalvador,SV,AS26617 Navega.com S.A.
SVNet,SV,AS14754 Telgua
Globalnet.hn,SV,AS27729 Globalnet.hn
InternexaPeruS.A,PE,AS28032 INTERNEXA PERU S.A
TelefonicadelPeru,PE,AS6147 Telefonica del Peru S.A.A.
INTERNETCAÑETE,,
EmpresaDeTelecomunicacionesMultimediaAlfa,PE,AS263224 EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA
ClaroPeru,PE,AS12252 America Movil Peru S.A.C.
CONEXIONDIRECTA,PE,AS269862 M & B Soluciones Peru S.A.C. (FASTNET)
Lumen,GU,AS7131 PTI Pacifica Inc.
EconocableMediaSac,PE,AS262253 ECONOCABLE MEDIA SAC
Cosmote,GR,AS6799 Ote SA (Hellenic Telecommunications Organisation)
WindHellas,GR,AS25472 WIND HELLAS TELECOMMUNICATIONS SA
FORTHnetSA,GR,AS1241 Forthnet
VodafoneGreece,GR,AS3329 VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
DigicelPNG,PG,AS17828 PNG DATACO LTD
TelikomPNGSatelliteTier1ASInternetService,PG,AS38009 Telikom PNG Satellite Tier 1 AS Internet Service
MYNETISP,PG,AS38456 SPEEDCAST AUSTRALIA PTY LIMITED
PngDataco,PG,AS17828 PNG DATACO LTD
SFBDOnline,BD,AS141439 S F BD Online
TomatoWebPvtLimited,BD,AS56264 Tomato Web (Pvt) Limited
U-TurnTechnologies,UZ,AS64466 UNIVERSAL MOBILE SYSTEMS LCC
BenapoleNet,BD,AS141991 Benapole Net
MatuailBroadbandInternet,BD,AS149415 Matuail Broadband Internet
Md.ShohidulIslamTASKLink,BD,AS137987 Md. Shohidul Islam T/A SK Link
VirtualAmericanCompaniesBDLimited,BD,AS133034 Virtual American Companies (BD) Limited
SwiftNet,BD,AS139809 Swift Net
FastCyberNetwork,BD,AS137020 Fast Cyber Network
MohammadMohiuddin,BD,AS138022 Mohammad Mohiuddin
OneNetCommunication,BD,AS63844 One Net Communication Ltd
IranetCyberCafe,BD,AS136563 Iranet Cyber Cafe
MohammadSAHIDULISLAM,BD,AS138146 Mohammad SAHIDUL ISLAM
FiberNetNetworks,BD,AS139300 FiberNet Networks
LinkTodayInternet,BD,AS132897 Link Today Internet
AthoyCyberNet,BD,AS24389 GrameenPhone Ltd.
GardeniaCyberCommunication,,
3NetTechnology,BD,AS141446 3 Net Technology
SylhetCommuncationSystemsLimited,BD,AS138523 Sylhet Communcation Systems Limited
NextOnlineLimited.,BD,AS9441 Next Online Limited.
AgniSystemsLimited,BD,AS23923 Agni Systems Limited
KaziMohammadShoabeTAExploreOnline,BD,AS135527 Kazi Mohammad Shoabe T/A Explore Online
OrangeCommunication,BD,AS137453 Orange Communication
CentralInternetLink,BD,AS141375 Central Internet Link
Robi,BD,"AS24432 TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212"
DreamTouchOnline,BD,AS140069 Dream Touch Online
Level3Carrier,BD,AS58682 Level3 Carrier Ltd.
PlanetWeb,BD,AS137480 Planet Web
MownaOpticalFiberNetwork,BD,AS59249 Mowna Optical Fiber Network
BaseIT,BD,AS140044 Base IT
PadmaOnline,BD,AS149421 PADMA ONLINE
RlCafeNet,BD,AS139004 RL CAFE NET
SkynetChowmuhani,BD,AS137449 SKYNET CHOWMUHANI
VisionBlueCommunication,BD,AS141740 Vision Blue Communication
WinerCommunication,BD,AS138623 Winer Communication
TeletalkBangladesh,,
GrameenCybernetLtd.Bangladesh.,BD,AS17471 Grameen Cybernet Ltd. Bangladesh. AS for local peering and transit. Dhaka
BengalBroadbandLimited,BD,AS138198 Bengal Broadband Limited
VIP.com,BD,AS139863 VIP.com
RRTelecommunication,BD,AS142136 RR Telecommunication
TLinkCommunication,BD,AS141198 TLink Communication
SkyViewOnline,BD,AS134806 Sky View Online
SaddamHossaintaAsianNetwork,BD,AS137385 Saddam Hossain t/a Asian Network
Md.RaisulIslam,BD,AS137515 Md. Raisul Islam
Cloudone,BD,AS137823 cloudone
ManorIT,BD,AS137013 Manor IT Ltd
A2ZNetwork,BD,AS149293 A2Z Network
CircleNetworkBangladesh,BD,AS134371 CIRCLE NETWORK BANGLADESH
AsianCityOnlineBd,BD,AS137023 ASIAN CITY ONLINE BD LTD.
SNSIT,BD,AS141460 SNS IT
SpeedNet,BD,AS138192 Speed Net
TheSkyTradersPvt,BD,AS134437 The Sky Traders (Pvt) Ltd
ZipnetLimitedDKB,BD,AS18230 Zipnet Limited DKB AS number
SSOnline,BD,AS136014 SS Online
ArrowNet,BD,AS139604 Arrow Net
AppleNet,BD,AS138575 APPLE NET
MahfujulHaquetaExpertOnline,BD,AS136395 Mahfujul Haque t/a Expert Online
DotInternet,BD,AS134732 Dot Internet
RedOnline,BD,AS140611 RED ONLINE
Md.MobarakHossain,BD,AS138362 Md. Mobarak Hossain
NmsTechnologies,BD,AS137498 NMS TECHNOLOGIES LTD
SbNetwork,BD,AS136215 SB NETWORK
Tire-1IPTransitProviderofBangladesh,BD,AS17806 Tire-1 IP Transit Provider of Bangladesh
MirInternetService,BD,AS140076 Mir Internet Service
TELENOR,PK,AS24499 Telenor Pakistan
LinkLine,BD,AS135554 Link Line
ChittagongTelecomServices,BD,AS58912 Chittagong Telecom Services Ltd
PowerMedia,BD,AS139202 Power Media
ThunderNetwork,BD,AS139197 Thunder Network
Md.ManiruzzamanManirtaDolyITCorner,BD,AS134971 Md. Maniruzzaman Manir t/a Doly IT Corner
AchieverBroadbandInternet,BD,AS138600 Achiever Broadband Internet
MaishaNet,BD,AS18109 MAISHA NET
RapidNetBD,BD,AS139872 Rapid Technology
DurontoOnline,BD,AS142600 Duronto Online
AlphaNetwork,BD,AS139771 Alpha Network
SustainableDevelopmentNetworkingProgram,BD,AS9825 Sustainable Development Networking Program
SparkOnline,BD,AS135882 Spark Online
KSNetwork,BD,AS59362 KS Network Limited
KBNOnline,BD,AS136207 K B N Online
Bikrampurglobalnetwork,BD,AS138454 Bikrampur global network
TrishalNet,BD,AS137530 TrishalNet
M/S.SKNetCity,,
GalaxyCyberCafe,BD,AS139590 Galaxy Cyber Cafe
KastechComputerValley,BD,AS136450 Kastech Computer Valley
SyncOnline,BD,AS140950 SYNC ONLINE
BestecTelecom,BD,AS132530 Bestec Telecom Ltd.
PlusnetCommunication,BD,AS137526 Plusnet Inc
UttaraOnline,BD,AS142060 Uttara Online BD
RumelIT,BD,AS139680 Rumel IT
Md.AbdulAwualtaCyberWayTechnology,BD,AS64018 Md. Abdul Awual t/a Cyber Way Technology
StarInternetService,BD,AS137868 Star Internet Service
BOLSystem,BD,AS137579 BOL System
IpInternet,BD,AS141458 IP INTERNET
MicrolinkTechnology,BD,AS134601 Microlink Technology
MoghbazarDotNet,BD,AS141745 Moghbazar Dot Net
PollyIT,BD,AS138692 Polly IT
SkyTechnologies,BD,AS149809 Sky Technologies
FiberLink,,
TimeTechnology,BD,AS140063 Time Technology
RaceOnlineLimited,BD,AS58715 EARTH TELECOMMUNICATION (Pvt) LTD.
WorldCommunicationInternetService,BD,AS138465 World Communication Internet Service
NetplusOnline,BD,AS138024 NETPLUS ONLINE
CogentBroadband,BD,AS140664 Cogent Broadband
LinkUpCommunication,BD,AS140215 Link Up Communication
PabnaCableVisionDotNet,BD,AS140930 Pabna Cable Vision Dot Net
GlobalNetwork,RU,AS39102 Global Network Management Inc
MoustafaFerdous,BD,AS138383 Moustafa Ferdous
BengalGroupLtd.NationwideInternetServiceProv,BD,"AS38256 Bengal Group Ltd. Nationwide Internet Service Provider, Bangladesh."
BrightStarNetwork,BD,AS135098 Bright Star Network
WaltonHi-TechIndustries,BD,AS59209 Walton Hi-Tech Industries Ltd
HMEnterprise,BD,AS139825 HM Enterprise
speednet,BZ,AS262239 Speednet Communications Limited
PeerexNetworksLtd.iig,BD,AS137491 PEEREX NETWORKS LTD./IIG
MasterNet,BD,AS139806 Master Net
SyslandSpeedOnlineNetwork,BD,AS132129 Sysland Speed Online Network
UniversityofRajshahi,BD,AS136004 University of Rajshahi
WindstreamCommunicationLimited,BD,AS139009 Windstream Communication Limited
RahulEnterprise,BD,AS139689 Rahul Enterprise
RadiantCommunicationsLimited,BD,AS38067 Radiant Communications Limited
SkyLinkIsp,BD,AS138476 SKY LINK ISP
PanMTechLimited,BD,AS140849 Pan M Tech Limited
GeotelBangladeshIT,BD,AS134552 Geotel Bangladesh IT Ltd.
Chittagongmultichannellimited,BD,"AS137029 Chittagong multi channel limited,"
IconInfotechLimited,BD,AS56054 Icon Infotech Limited
ClickOnline,BD,AS146957 Click Online
LRInternational,BD,AS147180 LR International
JhenaidahBroadband&CyberPoint,BD,AS136815 Md. Moniruzzaman (Rocky) trading as Jhenaidah Broadband & Cyber Point
VideoElephant,BD,AS135071 VIDEO ELEPHANT
BestCommunication,BD,AS140669 Best Communication
CarnivalInternet,BD,AS63526 Systems Solutions & development Technologies Limited
DiscoveryInternet,BD,AS134562 DISCOVERY INTERNET
NETSCOPE,BD,AS134702 NETSCOPE
SahareaHossaintaAuthenticNetwork,BD,AS131216 Saharea Hossain t/a Authentic Network
UnifiedCoreLimited,,
MasudRanataUniqueNet,BD,AS136516 Masud Rana t/a Unique Net
SalimKhan&MilonRaihan,BD,AS138150 Salim Khan & Milon Raihan
BDNetworks,BD,AS59365 BD Networks
StargateCommunications,BD,AS45905 Stargate Communications Ltd.
ISN,BD,"AS9832 ISN, Internet Service Provider"
ICCCommunication,BD,AS58689 ICC Communication
SkyinfoOnline,BD,AS138551 Skyinfo Online
FiberNet,BD,AS139300 FiberNet Networks
GlobalLink,BD,AS140923 Global Link
MsBdOnlineSystems,BD,AS136556 M/S BD ONLINE SYSTEMS
NetcomInternetService,BD,AS141433 Netcom Internet Service
PowerNet,BD,AS139052 Power Net
AppleCommunication,BD,AS139901 Apple Communication Ltd.
R.N.Link,BD,AS140864 R. N. Link
ASOnline,BD,AS141448 A S ONLINE
IQ-TEL,IQ,AS44217 IQ Networks
Md.WahidMuradTAAnikComputer&Networking,BD,AS135130 Md. Wahid Murad T/A Anik Computer & Networking
RelationCableNetwork,BD,AS138509 RELATION CABLE NETWORK
UniqueOnline,BD,AS149451 Unique Online
GangacharaOnline,BD,AS138471 Gangachara Online
SuchanaBroadband,BD,AS142428 Suchana Broadband
Future.Net,BD,AS135673 Future.Net
Penta-SixCommunication,BD,AS149019 Penta-Six Communication
GlobalCommunication,BD,AS137553 GLOBAL COMMUNICATION
NEEFIT,BD,AS139008 NEEF IT LIMITED
SinthiaTelecom,BD,AS140084 Sinthia Telecom
RoundNetwork,,
OctatechIT,BD,AS140674 Octatech IT
Prefixnet,BD,AS137584 Prefixnet
POTATO,BD,AS138336 POTATO
MirMosharrofHossaintaITBase,BD,AS132092 Mir Mosharrof Hossain t/a IT Base
CiTYCOMNetwork,BD,AS134990 CiTYCOM Network
TopNetwork,BD,AS138953 Top Network
AsthaNetworks,BD,AS146988 Astha Networks
NewDigitalCableNetworkInternet,BD,AS140624 New Digital Cable Network Internet
NetExpress,BD,AS140085 NET EXPRESS
WENET,BD,AS139343 WENET
TheNet,BD,AS132290 The Net
SpeedOnline,BD,AS134382 SPEED ONLINE
SheikhMohammadZulfiquertaTetrasoft,BD,AS134236 Sheikh Mohammad Zulfiquer t/a Tetrasoft
AloCommunicationslimited,BD,AS23729 Alo Communications limited
CityNetCommunication,BD,AS138621 City Net Communication
PC-Net,UA,AS56526 PC Media Zmijov
CyberNetCommunications,BD,AS138343 Cyber Net Communications
WebSolution,BD,AS138497 Web Solution
GreenZoneOnline,BD,AS138701 Green Zone Online
EARTHTELECOMMUNICATIONPvt,BD,AS63969 Race Online Limited
PandoraTechnology,BD,AS135517 Pandora Technology
TSTITSolutionsBD,BD,AS142054 TST IT Solutions BD
EvanAhmedBhuiyantaAPONIT,BD,AS132438 Evan Ahmed Bhuiyan t/a APON IT
ChittagongFocusOnline,BD,AS138492 Chittagong Focus Online
iTelLimited,BD,AS59239 iTel Limited
NetCafe,BD,AS138549 Net Cafe
CreativaITMymensinghBangladesh,BD,AS136214 Creativa IT Mymensingh Bangladesh
DupchanchiaOnline,,
HusnulBaritaAddaNetwork,BD,AS136438 Husnul Bari t/a Adda Network
MdZubayrulHoque,BD,AS137396 Md Zubayrul Hoque
ImageIT,BD,AS133099 Image IT
AmberITLimited,BD,AS23956 AmberIT Limited
X-pressTechnologiesLimited.,KH,"AS58424 # 3BEo, Sangkat Beoun Prolit, Khan 7Makara, Phnom Penh."
69Systems,BD,AS137434 69 Systems
SSTNTechnology,BD,AS135413 SSTN Technology
VogluInternetService,BD,AS139033 Voglu Internet Service
InnovativeOnlineLimited,BD,AS38562 Innovative Online Limited
DrikICT,BD,AS55828 Drik ICT Ltd
SalamOnline,BD,AS141462 Salam Online
ComputerFuture,BD,AS141346 Computer Future
DigitalDotNetDDN,BD,AS134599 Digital Dot Net (DDN)
TrustInnovationLimited,BD,AS141474 Trust Innovation Limited
TangailCityComputers,,
AlAminOnline,BD,AS147063 Al Amin Online
AbdurRahimBishastaFASTNET,BD,AS136248 Abdur Rahim Bishas t/a FAST NET BD
stargatecommunicationsLtd,BD,AS45905 Stargate Communications Ltd.
Central@linknet,BD,AS134499 Central @linknet
EVOLUTIONNETInternetServiceProvider,BD,AS64072 EVOLUTION NET (Internet Service Provider)
GrameenPhone,BD,AS24389 GrameenPhone Ltd.
Solution,BD,AS139762 Solution
KaziSazzadHossainTAMillenniumComputers&Netw,BD,AS134113 Kazi Sazzad Hossain T/A Millennium Computers & Networking
AOneOnline,BD,AS137078 A One Online
FuadMuhammadShorfuddinTAFissaCommunication,BD,AS135339 Fuad Muhammad Shorfuddin T/A Fissa Communication
WorldLink,NP,AS17501 WorldLink Communications Pvt Ltd
Taltola.net,BD,AS135155 TALTOLA.NET
ElengaDotNet,BD,AS132294 Elenga Dot Net
JhongkarEngineers,BD,AS139053 Jhongkar Engineers
FriendsCableNet,BD,AS139722 Friends Cable Net
NetExpressOnline,BD,AS136531 NetExpress Online
AkceycomLimited.,BD,AS38192 Akceycom Limited.
InterCloud,BD,"AS38026 MetroNet Bangladesh Limited, Fiber Optic Based Metropolitan Data"
S.M.ZAKIRHOSSAINtaEUROtelbdOnline,BD,AS64043 S.M. ZAKIR HOSSAIN t/a EUROtelbd Online Ltd.
SOL-BD,PY,AS263717 SOL TELECOMUNICACIONES S.A.
SharminAkterShilpitaMS.SaibaInternational,BD,AS135604 Sharmin Akter Shilpi t/a M/S. Saiba International
BangladeshOnline,BD,AS9230 Bangladesh Online Ltd.
TodayVision,BD,AS136948 Today Vision
DhakaFiberNetLimited,BD,AS55492 Dhaka Fiber Net Limited
Md.AhasanKabirChoudhurytaGaibandhaOnline,BD,AS133945 Md. Ahasan Kabir Choudhury t/a Gaibandha Online
CrazyNet,BD,AS139691 Crazy Net
MeghnaOnline,BD,AS147050 Meghna Online
ATSTechnology,BD,AS137485 ATS Technology
DhamraiNetwork,BD,AS140843 Dhamrai Network
DigiconTelecommunication,BD,AS137967 Digicon Telecommunication Ltd
TelecomOperator&InternetServiceProvideraswe,BD,"AS45588 Bangladesh Telecommunications Company Limited (BTCL), Nationwide PSTN Operator and Data and Internet Service Provider."
AKNetworks,BD,AS139029 AKNetworks
RanksITT,BD,AS23991 Ranks ITT Ltd.
MinaraFirozInfotech,BD,AS63980 Minara Firoz Infotech
Diginet,AL,AS6843 Diginet shpk
TufanOnline,BD,AS149453 Tufan Online
Sylhet-NetBroadband,BD,AS138523 Sylhet Communcation Systems Limited
PipexNetwork,BD,AS134712 Pipex Network
ManikgonjNetwork,BD,AS140523 Manikgonj Network
JahangirnagarUniversity,BD,AS139251 Jahangirnagar University
BrowserWorldIT,BD,AS139792 Browser World IT
MdSohelRana,BD,AS137570 Md Sohel Rana
DigiJadooBroadband,BD,AS131464 Digi Jadoo Broadband Ltd
Horizon&Associates,BD,AS134740 Horizon & Associates
DaulatpurOnline,BD,AS138014 Daulatpur Online
SpeedStarDotNet,BD,AS149806 Speed Star Dot Net
iNet,BD,AS141385 iNet
CombinedSoft,BD,AS132622 Combined Soft BD
SpeedLinks,BD,AS149058 Speed Links
KbzOnline,BD,AS132169 Kbz Online
BusinessNetwork,BD,AS134204 Business Network
DozeInternet,BD,AS63526 Systems Solutions & development Technologies Limited
MediaOnline,BD,AS135420 Media Online
M.RKhanJointIntTradeCenter(KhanOnline),BD,AS63526 Systems Solutions & development Technologies Limited
MeshNetwork,BD,AS138974 MESH NETWORK
Link3Technologies,BD,AS23688 Link3 Technologies Ltd.
SamOnline,BD,AS134146 SAM ONLINE
Talukdernet,BD,AS139757 Talukder net
Matrix,BD,AS138534 Matrix BD
DeshOnline,BD,AS136765 Desh Online
Bharari.net,,
EasyNet,BD,AS137059 Easy Net
StarNetwork,BD,AS137015 Star Network BD
BRACNetLimited,BD,AS24342 BRACNet Limited
ExordOnline,BD,AS133954 Exord Online
VirgoCommunication,BD,AS58945 Virgo Communication Ltd
DeshnetBroadband,,
ProdhanCommunicationPC,BD,AS149016 PRODHAN COMMUNICATION (PC)
